subject,educ86,twoyr,female,black,hispanic,bytest,dadmiss,dadvoc,dadsome,dadcoll,mommiss,momvoc,momsome,momcoll,fincome,fincmiss,ownhome,perwhite,urban,cue80,stypc80,stwmfg80,tuition2,tuition4,dist2yr,dist4yr,region_midwest,region_south,region_west,nearer2yr
6,14,1,0,0,0,61.03,0,0,0,1,0,0,1,0,31500,0,0,99,0,6.2,11599,8.09,600.46,889.15,10,6,0,0,0,FALSE
7,15,1,1,0,0,58.61,0,0,0,0,0,0,0,0,22500,0,0,99,0,6.2,11599,8.09,600.46,889.15,10,6,0,0,0,FALSE
12,12,1,1,0,0,60.4,0,1,0,0,0,0,0,0,22500,0,1,97,0,6.9,10612,7.04,570.44,903,8,20,0,0,0,TRUE
13,14,1,1,0,0,60.93,0,0,0,0,0,0,1,0,22500,0,1,99,0,6.5,11599,8.09,600.46,889.15,9,15,0,0,0,TRUE
15,12,1,0,0,0,60.22,0,0,0,1,0,0,0,0,62000,0,1,93,0,7.7,10612,7.04,570.44,903,5,20,0,0,0,TRUE
18,14,1,1,0,0,57.5,0,0,0,0,0,0,0,0,18000,0,1,96,0,7.5,11599,8.09,600.46,889.15,20,5,0,0,0,FALSE
20,12,1,1,0,0,55.74,1,0,0,0,0,0,0,0,9500,0,0,97,0,5.4,11599,8.09,600.46,889.15,3,19,0,0,0,TRUE
26,12,1,1,0,0,58.89,0,1,0,0,0,0,0,1,31500,0,0,96,0,8.7,13301,8.85,408.78,849.88,5,15,0,0,0,TRUE
31,13,1,1,0,0,57.88,0,0,0,1,0,0,0,1,62000,0,1,100,0,5.1,13301,8.85,408.78,849.88,10,1,0,0,0,FALSE
37,12,1,1,1,0,60.3,0,1,0,0,0,1,0,0,0,1,1,47,1,8,11852,9.64,1010.39,1152.42,2,1,0,0,0,FALSE
44,15,1,0,1,0,56.46,0,0,1,0,0,0,0,1,31500,0,0,53,1,8,11852,9.64,1010.39,1152.42,8,4,0,0,0,FALSE
48,12,1,1,0,0,58.87,0,0,0,0,0,0,0,0,22500,0,1,100,0,6,11852,9.64,1010.39,1152.42,12,15,0,0,0,TRUE
49,17,1,1,0,0,65.79,0,0,0,0,0,0,0,0,9500,0,1,60,1,8,11852,9.64,1010.39,1152.42,5,5,0,0,0,FALSE
60,16,1,0,0,0,55.76,0,0,1,0,1,0,0,0,18000,0,1,100,0,9.8,11852,9.64,1010.39,1152.42,15,45,0,0,0,TRUE
61,12,1,1,0,0,55.54,0,0,0,0,0,0,1,0,31500,0,1,100,0,9.8,11852,9.64,1010.39,1152.42,15,45,0,0,0,TRUE
63,15,1,1,0,0,56.93,0,0,0,1,0,0,0,1,31500,0,1,94,0,10.7,11852,9.64,1010.39,1152.42,2,5,0,0,0,TRUE
76,15,1,0,0,1,56.02,0,0,1,0,0,0,0,0,18000,0,1,99,0,8,11852,9.64,1010.39,1152.42,19,60,0,0,0,TRUE
77,12,1,1,0,0,56.28,0,1,0,0,0,0,0,0,14000,0,1,99,0,8,11852,9.64,1010.39,1152.42,19,60,0,0,0,TRUE
79,15,1,0,0,0,60.83,1,0,0,0,1,0,0,0,18000,0,0,100,0,10.8,11852,9.64,1010.39,1152.42,3,65,0,0,0,TRUE
80,15,1,1,0,0,61.45,1,0,0,0,1,0,0,0,22500,0,1,100,0,10.8,11852,9.64,1010.39,1152.42,3,65,0,0,0,TRUE
81,15,1,0,0,0,58.06,0,0,1,0,0,0,0,0,62000,0,1,99,0,9.5,11852,9.64,1010.39,1152.42,10,20,0,0,0,TRUE
85,13,1,0,0,0,64.89,0,0,0,1,0,0,0,0,31500,0,1,94,0,5.3,11852,9.64,1010.39,1152.42,12,5,0,0,0,FALSE
86,12,1,1,0,0,55.98,0,0,1,0,0,0,1,0,22500,0,1,94,0,5.3,11852,9.64,1010.39,1152.42,12,5,0,0,0,FALSE
