Year,Grade,Gender,Public Speaking,The Dark,Animals,The Supernatural,Caregivers,Storms and Natural Disasters,Punishment and Discipline,Rejection and/or Failure,Heights,Disappointment,Anger,More Mature?,Age
4,5,M,0,0,1,0,0,1,0,0,0,0,0,Yes,
4,5,F,1,1,2,0,2,0,1,3,1,1,2,Yes,
4,5,M,1,1,1,1,0,2,2,2,0,2,1,No,
4,5,F,1,2,1,0,1,1,2,2,2,2,1,Yes,
4,5,F,3,0,1,1,2,0,3,3,0,2,1,Yes,
4,5,M,1,1,1,0,0,0,3,1,1,1,2,Yes,
4,5,M,1,0,1,2,0,0,2,0,0,0,0,No ,
4,5,F,2,1,0,1,0,0,0,2,0,2,0,Yes,
4,5,F,2,0,0,1,0,0,1,1,1,1,1,Yes,
4,5,M,1,1,0,0,0,0,1,0,0,1,1,No,
4,5,M,0,1,0,0,0,1,0,1,1,0,0,No,
4,5,F,2,0,1,1,2,1,2,1,1,1,1,Yes,
4,5,F,1,1,0,0,0,0,1,2,2,3,0,Yes,
4,5,F,2,2,0,2,0,1,0,1,2,3,1,No,
4,5,F,2,0,0,1,1,0,3,3,0,3,1,Yes,
4,5,F,2,1,1,0,1,1,1,2,0,1,1,Yes,
4,5,M,1,1,1,0,1,0,3,2,0,1,1,No,
4,5,M,1,0,3,0,0,0,2,2,0,0,1,Yes,
4,5,F,2,1,1,0,0,0,2,0,2,0,1,Yes,
4,5,M,0,0,2,1,1,1,0,0,1,0,1,Yes,
4,5,M,1,0,1,0,1,1,2,2,0,1,1,Yes,
4,5,M,1,0,0,0,0,0,0,0,0,0,1,Yes,
4,5,M,0,0,0,1,1,0,1,1,0,0,1,Yes,
4,5,F,2,1,1,0,1,1,1,0,3,0,0,Yes,
4,5,M,1,1,0,2,0,0,0,2,3,0,2,Yes,
4,5,M,1,0,3,0,0,1,2,2,3,0,1,No,
4,5,F,2,1,1,1,0,0,1,2,2,1,1,Yes,
4,5,M,2,3,3,2,0,1,1,2,3,1,2,Yes,
4,5,M,0,0,1,1,2,2,0,0,1,0,3,Yes,
4,5,M,0,3,0,3,0,2,1,0,0,0,0,,
4,5,M,2,0,1,0,0,1,1,1,1,2,1,Yes,
4,5,F,1,2,,0,1,1,3,3,0,3,3,Yes,
4,5,M,0,2,1,2,0,1,0,1,1,0,1,Yes,
4,5,M,1,0,1,0,1,0,1,2,2,0,2,Yes,
4,5,M,3,3,2,2,0,2,0,2,3,1,1,No,
4,5,M,2,2,1,3,3,0,1,1,3,0,1,No,
4,5,M,0,0,0,0,0,0,0,0,0,0,0,Yes,
4,5,M,1,0,0,1,0,0,2,0,0,1,1,No,
4,5,F,1,0,1,1,2,2,3,2,1,1,2,Yes,
4,5,F,2,1,2,2,1,1,0,0,2,0,0,Yes,
4,5,M,0,1,1,1,0,0,0,0,0,0,0,Yes,
4,5,F,1,2,1,0,0,1,0,0,1,0,1,Yes,
4,5,F,3,2,2,2,1,2,1,1,1,1,1,Yes,
4,5,M,3,1,2,1,1,3,1,3,3,1,1,No,
4,5,F,1,1,1,0,0,0,0,0,0,0,0,Yes,
4,7,M,2,1,1,1,1,1,1,3,0,1,1,Yes,
4,7,M,2,3,0,0,0,0,3,1,1,3,3,No,
4,7,M,0,1,0,1,0,0,2,3,0,2,1,No,
4,7,F,0,2,0,2,0,0,1,3,0,1,1,No,
4,7,F,1,1,1,0,0,1,1,3,0,2,2,No,
4,7,F,3,2,1,1,3,1,2,3,2,3,3,Yes,
4,7,M,0,1,0,0,0,0,0,1,0,0,1,No,
4,7,M,0,2,0,1,0,0,1,1,3,0,2,No,
4,7,M,3,1,1,0,1,3,2,3,2,2,1,No,
4,7,F,1,3,0,0,0,3,2,1,0,1,2,Yes,
4,7,M,1,0,0,0,1,0,0,0,1,0,0,No,
4,7,M,1,1,1,1,0,3,2,3,1,3,2,No,
4,9,M,2,0,1,1,1,1,1,2,0,3,1,No,
4,9,F,3,1,1,1,0,2,2,2,3,2,1,Yes,
4,9,M,2,0,2,0,0,1,1,2,0,2,1,No,
4,9,F,1,1,0,0,0,1,0,1,1,0,0,Yes,
4,9,M,1,1,2,0,0,0,0,1,2,0,0,No,
4,9,M,1,0,0,,0,2,0,1,0,1,0,No,
4,9,M,2,2,0,0,0,0,3,3,1,3,0,,
4,9,M,0,1,0,2,1,0,0,3,2,2,,No,
4,9,M,2,0,0,0,1,1,0,1,2,1,1,No,
4,9,F,1,0,0,0,0,0,1,2,0,1,0,Yes,
4,9,F,3,0,1,1,0,0,0,3,0,2,0,Yes,
4,9,M,1,0,1,1,0,2,2,3,0,2,1,No,
4,9,M,2,1,1,0,1,1,2,2,1,1,1,No,
4,9,M,3,1,2,0,0,0,2,2,1,2,3,No,
4,9,M,2,0,1,0,0,0,1,2,2,2,1,Yes,
4,9,M,1,0,0,0,0,0,0,2,1,2,1,Yes,
4,9,M,1,0,0,0,0,0,0,2,1,2,1,Yes,
4,9,F,1,1,1,1,0,1,2,2,3,2,2,Yes,
4,9,M,1,0,1,0,0,0,2,2,1,1,1,Yes,
3,8,M,1,2,0,1,0,0,1,3,0,2,0,No,
3,8,M,1,0,1,0,0,2,2,0,2,0,0,No,
3,8,M,2,1,1,1,0,0,1,2,3,0,1,No,
3,8,F,1,2,1,1,0,0,1,3,0,2,1,Yes,
3,8,F,2,3,1,0,1,2,3,3,3,3,3,Yes,
3,8,M,1,2,0,0,0,0,2,3,0,3,0,Yes,
